序号,公告ID,地区,预算,类型,标题,预标星级,预标建议,预标依据,你的星级(不同才填),你的备注
1,22546,新疆维吾尔自治区/和田市,2680000元,公开招标,2026年“我爱北京天安门”和田市“石榴籽·祖国行”青少年融情三交项目公开招标公告,1,不建议参与,青少年活动项目服务类，完全不对口,,
2,22545,甘肃省/陇南市,"2,600,000.00元",公开招标,西和县第一中学2026年改善普通高中办学条件智慧校园建设项目招标公告,2,不建议参与,智慧校园智能化建设能力对口，但甘肃省外,,
5,22548,浙江省/绍兴市,,更正公告,浙江天源工程管理咨询有限公司关于绍兴大学蔡元培艺术与设计学院艺术专业理论教室及学位点教...,1,不建议参与,教室与学位点设备货物更正，非工程,,
12,22553,广东省/广州市,"2,600,000.00元",公开招标,广州医科大学附属第五医院医疗设备更新项目十招标公告,1,不建议参与,医疗设备采购货物不对口,,
17,22560,贵州省/贵阳市,,更正公告,云岩区教育局关于云岩区教育系统2026年中小学维修改造项目（第一批）的更正公告,2,不建议参与,中小学维修改造工程对口，贵州省外，更正公告,,
21,22503,天津市,33.995300万元（人民币）,竞争性磋商,天津市津南区消防救援支队天华路消防站路面硬化工程竞争性磋商公告,1,不建议参与,路面硬化34万天津，专业地区双不符,,
22,22518,江西省/九江市,795000.00元,竞争性谈判,2026年瑞昌市送电影下乡采购项目竞争性磋商公告,1,不建议参与,送电影下乡服务不对口,,
25,22517,江西省/宜春市,1058097.20元,竞争性谈判,樟树市职业技术学校滨江校区项目设备采购厨房设备项目,1,不建议参与,厨房设备采购不对口,,
27,22522,贵州省/贵阳市,5450000元,公开招标,清镇市第一人民医院关于医院(医共体)大输液药品供应商（二次）的公开招标公告,1,不建议参与,大输液药品供应不对口,,
29,22505,黑龙江省/哈尔滨市,112.02万元,公开招标,黑龙江农垦职业学院宾西校区老年照护实训设备采购项目公开招标公告,1,不建议参与,照护实训设备货物，黑龙江,,
32,22506,天津市,180.000000万元,公开招标,天津海关工业产品安全技术中心2026-2027年度化妆品功效志愿者招募服务采购项目（项目编号：06...,1,不建议参与,化妆品志愿者招募服务不对口,,
33,22508,湖北省/武汉市,960.560000 万元,公开招标,华中科技大学一号楼维修改造工程公开招标公告,2,不建议参与,高校楼宇维修改造960万能力对口，但湖北省外,,
34,22529,江苏省/徐州市,699.98万元,招标公告/资审公告,励志馆展陈与装修装饰工程,5,建议参与,展陈+装修装饰工程，江苏徐州，699.98万，资质与案例高度对口,,
46,22498,云南省/昆明市,23083900元,公开招标,昆明市教育体育局直属学校（幼儿园）食堂大宗食材采购项目公开招标公告,1,不建议参与,食堂大宗食材采购不对口,,
47,22466,新疆维吾尔自治区/阿克苏市,13.000000 万元（人民币）,竞争性谈判,阿克苏边境管理支队机房改造采购项目竞争性谈判公告,1,不建议参与,机房改造对口但13万且新疆，规模地区双不符,,
51,22469,北京市,85.000000 万元（人民币）,竞争性磋商,民航总医院中心网络机房改造装修工程竞争性磋商公告,2,不建议参与,医院网络机房改造装修高度对口，但北京且85万低于下限,,
53,22474,安徽省/合肥市,600.000000 万元（人民币）,竞争性磋商,合肥工业大学建筑技术研发中心裙楼综合维修项目竞争性磋商公告,2,不建议参与,高校裙楼综合维修600万对口，但安徽省外,,
54,22475,重庆市,238.000000 万元（人民币）,公开招标,西南大学智慧教学空间平台1期公开招标公告,2,不建议参与,智慧教学空间平台238万偏软件平台，智能化沾边，重庆,,
55,22477,广东省/茂名市,1200.000000万元（人民币）,公开招标,国家税务总局茂名市税务局2026至2028年食堂食材配送服务项目ZX2026-FG016公开招标公告,1,不建议参与,食堂食材配送服务不对口,,
59,22424,西藏自治区/拉萨市,29.437000万元,其他公告,中华人民共和国西藏出入境边防检查总站拉萨出入境边防检查站老旧备勤用房改造采购项目（二次...,1,不建议参与,备勤用房改造29万拉萨，规模地区双不符,,
64,22426,江苏省/南京市,300.000000万元,公开招标,南京大学2026-2027年度校园网出口宽带服务（应用服务）项目公开招标公告（三次）,1,不建议参与,校园网出口宽带是运营商业务，不对口,,
65,22427,江苏省/南京市,,更正公告,南京大学近红外深度制冷相机更正公告,1,不建议参与,科研相机更正公告，货物不对口,,
67,22456,云南省/丽江市,730000元,公开招标,丽江职教集团华坪分校智能设备运行与维护专业实训室建设及门禁系统安装（三次）公开招标公告,2,不建议参与,实训室+门禁弱电对口，云南73万，地区预算双低,,
72,22499,江苏省/盐城市,126.260000万元,采购公告,盐城滨海港经济区农村生活污水项目（裕众村）采购公告,1,不建议参与,农村污水工程，环保专业不对口,,
73,22500,江苏省/南京市,40.000002万元,采购公告,2026年公务用车更新购置项目1采购公告,1,不建议参与,公务用车采购不对口,,
74,22502,江苏省/南京市,60.000000万元,采购公告,2026年公务用车更新购置项目2采购公告,1,不建议参与,公务用车采购不对口,,
75,22501,江苏省/徐州市,221.000000万元,采购公告,桃园镇卫生院异地重建电力施工采购公告,2,不建议参与,电力施工需电力专业资质，机电安装仅沾边；江苏但专业不符,,
76,22428,新疆维吾尔自治区/伊宁市,43.999175 万元（人民币）,竞争性磋商,伊宁海关发电机购置安装与并线调试项目0.4kV配电工程竞争性磋商公告,1,不建议参与,0.4kV配电工程44万新疆,,
77,22430,山东省/青岛市,390.000000 万元（人民币）,公开招标,中国海洋大学学生食堂设备购置项目公开招标公告,1,不建议参与,学生食堂设备购置货物不对口,,
82,22368,江苏省/南京市,322.000000 万元（人民币）,公开招标,南京大学超快瞬态吸收显微成像系统公开招标公告,1,不建议参与,科研成像设备货物不对口,,
83,22462,江苏省,,招标公告,新扬高速公路宿迁枢纽至黄花塘枢纽段扩建工程中心试验室项目,1,不建议参与,高速公路试验室项目不对口,,
85,22382,陕西省/西安市,"540,000.00元",公开招标,陕西青年职业学院人工智能实训室建设项目招标公告,2,不建议参与,AI实训室建设弱电智能化沾边，陕西54万,,
87,22380,福建省/泉州市,"665,300.00元",竞争性磋商,社区治理服务竞争性磋商公告,1,不建议参与,社区治理服务不对口,,
95,22461,江苏省/宿迁市,4828.45万元,招标公告/资审公告,宿迁港泗洪港区双沟作业区码头工程配套工程招标公告（资格后审）,1,不建议参与,码头水工工程4828万，专业与体量都不符,,
98,22390,重庆市,"4,056,800.00元",公开招标,2026-2028年南彭街道清扫保洁、生活垃圾分类、垃圾收运、场镇冲洗市场化运作项目(BNQ26C00035...,1,不建议参与,环卫清扫保洁服务不对口,,
100,22374,广东省/广州市,200.000000 万元（人民币）,公开招标,ZYCGR22011901智慧实验室前期设计及规划服务采购项目公开招标公告,2,不建议参与,智慧实验室前期设计200万广州，设计非施工,,
101,22399,江苏省/宿迁市,199.5万元,招标公告/资审公告,江苏省泗阳中学改造提升高二年级校舍项目招标公告（资格后审）(重新招标1次),4,建议参与,江苏中学校舍改造提升199.5万，学校改造对口；土建占比未知留一分,,
102,22400,江苏省/盐城市,149.96万元,招标公告/资审公告,智慧港口公司设备钢结构检测服务（二次）招标公告,1,不建议参与,港口钢结构检测服务不对口,,
104,22329,辽宁省/大连市,119万元,其他公告,大连理工大学西校区学生宿舍及配套设施（二期）项目供热一次网迁移工程竞争性磋商公告,1,不建议参与,供热管网迁移119万大连，市政专业不符,,
105,22351,甘肃省/酒泉市,"612,867.04元",竞争性磋商,肃州区清水中心小学基础设施提升改造项目竞争性磋商公告,2,不建议参与,小学基础设施改造对口，甘肃61万,,
106,22349,河南省/洛阳市,778600元,竞争性磋商,栾川县第二实验小学2026农村中小学校舍安全保障长效机制项目-竞争性磋商公告,2,不建议参与,校舍安全工程对口，河南78万,,
107,22350,陕西省/宝鸡市,"105,502.22元",竞争性磋商,宝鸡市金台区金陵湾第一幼儿园房屋等地漏水恢复及处理项目竞争性磋商公告,1,不建议参与,幼儿园漏水修复10.5万，规模过小且陕西,,
110,22353,广东省/广州市,"3,232,812.00元",公开招标,广州市增城区荔城街第三中学自营食堂运营管理服务（2026年8月--2027年7月）(二次)公开招标公告,1,不建议参与,食堂运营管理服务不对口,,
111,22361,陕西省/安康市,"549,966.00元",公开招标,白河县城关镇中心小学白河县城关镇第三小学校园智能AI数字网络IP广播系统建设项目(二次)招标公告,2,不建议参与,校园智能广播系统弱电对口，陕西55万,,
112,22355,广东省/清远市,"2,950,000.00元",公开招标,连州市区域卫生信息系统数据中心云服务项目招标公告,1,不建议参与,卫生信息系统云服务，IT运营不对口,,
